time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1854-01-01,0.0,23.97134,25.464357,25.89733,27.689882,22.46881,21.563524,24.964342,24.238289,18.51141,24.661217,27.037056,24.801113,26.36792,-1.5668068,27.26993,27.366604,27.696018,-0.096673965
1854-02-01,0.0,25.537254,26.115362,26.055462,27.76546,21.932365,20.969765,24.319698,23.514553,18.937054,24.075838,27.434261,24.26664,27.135962,-2.8693218,27.807579,28.07414,28.216927,-0.2665615
1854-03-01,0.0,25.281687,26.793547,26.908459,28.096552,21.772388,20.675003,24.183025,23.209503,18.047543,23.951538,27.772474,24.132881,27.44813,-3.3152485,29.12604,28.451088,29.184994,0.67495155
1854-04-01,0.0,23.954077,27.187235,27.631338,28.422773,21.930086,20.759027,24.349236,23.111818,16.46678,24.078024,27.739567,23.961784,27.410532,-3.4487476,29.918121,28.810415,29.773628,1.1077061
1854-05-01,0.0,22.80088,26.989397,27.902258,28.85855,22.358746,21.05332,24.92017,23.757164,15.35036,24.659588,27.384212,24.579224,26.810629,-2.2314053,29.814234,28.880144,29.623394,0.93408966
1854-06-01,0.0,22.989174,26.453264,27.230053,28.640593,23.54133,22.047647,25.419947,24.52131,13.223012,25.291548,26.709002,25.230389,25.976679,-0.7462902,28.03578,28.934277,28.015377,-0.8984966
1854-07-01,0.0,21.587492,25.535263,26.883568,28.642708,24.577703,23.170563,25.986065,25.280123,11.772164,25.865875,25.785189,25.861654,25.183422,0.6782322,26.649513,28.304323,26.709381,-1.65481
1854-08-01,0.0,20.61227,24.339062,25.809881,28.078522,25.425907,24.16929,26.4776,25.79574,11.629918,26.19443,25.27797,26.191452,24.540945,1.650507,26.3368,27.99855,26.573198,-1.6617508
1854-09-01,0.0,20.293089,24.411829,26.114859,28.273989,25.97717,24.849829,26.932825,26.210732,11.831854,26.64967,25.584185,26.540302,24.492699,2.0476036,26.909838,28.076664,26.886303,-1.1668262
1854-10-01,0.0,21.80551,24.29165,25.428247,27.929937,25.746296,24.83027,27.261236,26.70884,12.949436,26.944147,26.111975,26.976072,24.565067,2.411005,27.80656,28.864517,27.834892,-1.0579567
1854-11-01,0.0,21.982864,24.054699,25.390768,27.95434,24.624733,23.709538,27.021269,26.349308,14.907833,26.62858,26.50838,26.7191,24.972225,1.7468758,28.052444,29.141973,28.201155,-1.089529
1854-12-01,0.0,22.76623,23.962105,25.11866,27.65636,23.568186,22.609274,26.365236,25.752775,17.641165,25.949955,26.73438,26.22069,25.39815,0.8225403,28.185303,28.63841,28.312147,-0.45310783
1855-01-01,0.0,23.997204,25.005865,25.940775,27.868523,22.177336,21.175215,25.334291,24.56695,19.655785,24.840767,27.092607,25.225954,26.101892,-0.8759384,28.14404,28.199612,28.484716,-0.05557251
1855-02-01,0.0,25.362667,26.519114,26.95328,28.141525,21.846357,20.750235,24.909376,24.078732,19.885763,24.453596,27.536983,24.800005,26.31521,-1.5152054,28.207228,28.34019,28.558846,-0.13296318
1855-03-01,0.0,25.108185,26.978224,27.159601,28.099575,21.715496,20.667322,24.665184,23.70247,18.957382,24.23634,27.583246,24.452526,26.621635,-2.1691093,28.776226,29.272413,29.022478,-0.4961872
1855-04-01,0.0,24.489733,27.254261,27.641554,28.231985,21.715357,20.585356,24.874748,23.836601,17.47181,24.453564,27.569057,24.658518,26.568787,-1.9102688,29.774187,29.175106,29.581558,0.59908104
1855-05-01,0.0,24.145878,26.977404,27.725555,28.381372,22.428316,21.089142,25.135153,24.042784,15.572993,24.780497,27.127811,24.830456,25.809284,-0.97882843,29.5397,28.926134,29.057745,0.61356544
1855-06-01,0.0,22.845272,26.282177,27.1583,28.02665,23.806488,22.251825,25.753862,24.762691,13.308705,25.516142,26.293266,25.460278,25.423965,0.036312103,28.385963,28.602343,27.927223,-0.21637917
1855-07-01,0.0,21.474216,25.859497,26.775547,27.32747,24.590015,22.92494,26.162754,25.35756,12.240733,25.915764,25.650568,25.914385,24.81172,1.102665,27.486858,27.942942,27.23916,-0.4560833
1855-08-01,0.0,20.504505,25.45667,26.489094,28.347988,25.58753,24.094652,26.730587,26.039597,12.086752,26.48834,25.348618,26.4252,24.348246,2.076954,27.02944,27.419573,26.791174,-0.3901329
1855-09-01,0.0,20.319942,25.51019,27.495117,29.904093,25.676086,24.286335,26.975645,26.344856,12.150605,26.69116,25.681484,26.681639,24.212599,2.46904,27.706396,27.617386,27.6436,0.08901024
1855-10-01,0.0,22.249216,25.781612,27.361473,29.480501,25.857374,24.89068,27.261097,26.81923,13.655424,27.140438,25.988571,27.18413,24.387062,2.7970676,27.819302,28.043772,27.526379,-0.22447014
1855-11-01,0.0,20.818932,25.85542,27.803173,28.900389,24.463583,23.406809,26.864431,26.143078,15.735362,26.59074,26.535286,26.598513,25.19143,1.4070835,28.316422,28.199205,28.151684,0.11721611
1855-12-01,0.0,21.719238,26.012415,27.684353,28.927485,23.226442,22.061117,25.95076,25.173119,17.651094,25.600338,26.978539,25.685913,25.66823,0.01768303,27.963266,28.473886,28.208803,-0.5106201
1856-01-01,0.0,24.108229,26.080053,27.215408,28.68777,22.022,20.683666,24.677155,23.482977,20.00463,24.307234,27.28676,24.0986,26.046427,-1.9478264,27.540691,28.74352,27.940664,-1.2028294
1856-02-01,0.0,24.394566,26.440578,27.054531,28.15353,21.631702,20.29172,24.447756,23.26478,20.088156,24.065853,27.49628,24.034115,26.653032,-2.6189175,28.350588,28.6732,28.656414,-0.32261276
1856-03-01,0.0,24.821323,27.334911,27.738758,28.110062,21.790703,20.528778,24.41335,23.27844,19.17485,24.058205,27.74208,24.027998,26.784578,-2.7565804,28.902023,29.096893,28.898027,-0.19487
