figure_id,filename,experiment,model,region,method,figure_type,period,description
ACCESS-CM2_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_bmc_quantile_bias.png,historical,ACCESS-CM2,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_dmi_quantile_bias.png,historical,ACCESS-CM2,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nat_quantile_bias.png,historical,ACCESS-CM2,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino12_quantile_bias.png,historical,ACCESS-CM2,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino34_quantile_bias.png,historical,ACCESS-CM2,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino3_quantile_bias.png,historical,ACCESS-CM2,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino4_quantile_bias.png,historical,ACCESS-CM2,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sat_quantile_bias.png,historical,ACCESS-CM2,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_setio_quantile_bias.png,historical,ACCESS-CM2,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sna_ce_quantile_bias.png,historical,ACCESS-CM2,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
