area,n_model_area,mean_improvement_abs_error,min_improvement_abs_error,max_improvement_abs_error,mean_abs_error_original,mean_abs_error_corrected,mean_relative_mae_reduction_percent,mean_abs_correction_applied
cbm,6,1.2155807013904267,0.38250336278286035,1.9335507295280663,1.6308494927798523,0.4152687913894255,70.72919221793362,1.6185364016879271
centro,6,0.46277793870991984,0.1812146057817677,1.0863760002270912,0.8586522012448966,0.3958742625349767,49.36378365397399,0.6843299129150394
centroleste,6,0.39106695622606774,0.15803459309151435,0.9234226948668929,0.791626886729393,0.40055993050332533,44.23440691870615,0.5804170299936724
dmi,6,0.34610641653671603,0.005397969054175916,0.7000848820724823,0.6069689636856802,0.26086254714896423,50.10810715949048,0.5336506017652939
nat,6,0.2682172793346447,0.044549814576941224,0.6029703294177801,0.62807625540304,0.3598589760683953,37.47200334863009,0.434044914889041
nino12,6,1.944120392028658,1.0445507437027257,3.1647138178338867,2.5116780420383216,0.5675576500096638,75.98669602894226,2.4209227381993927
nino3,6,0.5691718831209193,0.22236956680319855,0.9115990570191083,1.0195364835888554,0.45036460046793625,53.273036359056334,0.8483064057673247
nino34,6,0.638875153834327,0.060453438072669265,1.1064046211547907,1.1192704307483485,0.48039527691402123,51.84532120371133,0.970029566776188
nino4,6,0.5998735397152625,0.12831825751128328,1.5335160664387155,1.1184023039781907,0.5185287642629283,46.3219296418317,0.95215590248256
norte,6,0.7535089216292277,0.12028662115852867,1.8838496431756278,0.9867435764293849,0.23323465480015718,65.95297836233469,0.8975186373815373
norteleste,6,0.76381208490887,0.2339754310552884,1.8261656436041511,1.0399042315042097,0.27609214659533976,65.88243500383675,0.9490635391043383
sat,6,0.5602427229548668,0.2505416633829247,0.9850976782244361,0.8047389956571109,0.24449627270224408,67.31821869000635,0.7656465834556184
setio,6,0.28724879482734905,-0.01786519881640925,0.6292156867860936,0.5830016241095962,0.29575282928224716,40.771109028451185,0.5237241480151493
swio,6,0.38023271634310146,-0.008456578841586371,0.8493023098647349,0.6415015131122069,0.2612687967691054,48.28390053321787,0.6401969624297746
tasi,6,0.7217820699776719,0.17474023453243334,1.355035326978671,1.0135612309412734,0.2917791609636014,64.73085681451953,0.931242096537642
tna,6,0.3858818355909979,0.004780936638287484,0.9912937768406375,0.7196502882169442,0.3337684526259462,43.89914781172612,0.5362565396805036
tsa,6,0.4500029004707884,0.1920084581788778,0.821302998941026,0.6218121925046706,0.17180929203388215,68.63547151144532,0.6171953234410986
wtio,6,0.37551295922473366,0.0007121156543050826,0.8080978077935385,0.624221665177033,0.24870870595229946,51.473065792383004,0.5974199944170008
