model,area,area_name,selected_method,correction_class,n_months,mae_original_clim,mae_corrected_clim,relative_improvement_clim_percent,corr_original_shape,corr_corrected_shape,amp_obs,amp_original,amp_corrected,amp_ratio_original,amp_ratio_corrected,amp_error_original,amp_error_corrected,std_obs,std_original,std_corrected,std_ratio_original,std_ratio_corrected
INM-CM5-0,nino12,Niño 1+2,xgb,Successful correction,12,2.5275661990699643,0.12079742859700549,95.22080060093168,0.9551346479820982,0.9970530816450449,5.4309547000000045,3.6423156856467145,5.577886390686036,0.670658454515688,1.027054486513399,0.32934154548431205,0.027054486513399034,2.0656487893244067,1.3135485953546455,2.032606991763064,0.6359012249048669,0.9840041551438425
INM-CM5-0,nino3,Niño 3,xgb,Successful correction,12,0.6181651444430344,0.09730186987609812,84.2595670831996,0.8702940952169707,0.9952104651552494,2.6185025000000017,3.934334736112959,2.5054096221923814,1.5025132632536942,0.9568100936288507,0.5025132632536942,0.04318990637114928,0.9668606023094066,1.3655401875031905,0.9273282304323245,1.4123444312877296,0.9591126458326499
INM-CM5-0,nino34,Niño 3.4,xgb,Successful correction,12,1.5005019934590509,0.07915832803446439,94.72454362743073,0.6855041126632793,0.9945446968654815,1.5769822999999974,4.200496594757901,1.3802696228027322,2.663629512365426,0.87526006018123,1.6636295123654259,0.12473993981876996,0.5522065793066019,1.482642659610253,0.48437053721984946,2.684942040118368,0.8771545928121081
INM-CM5-0,nino4,Niño 4,xgb,Successful correction,12,1.9817932106352893,0.055544693140664826,97.19725081090274,0.08556524857726326,0.9847279625167958,0.8691683999999995,2.723746662804608,0.8140127182006829,3.1337387125493854,0.9365420075104932,2.1337387125493854,0.06345799248950679,0.3075414675907781,1.0138260585034609,0.2733872318748826,3.2965507593027477,0.8889442910464942
INM-CM5-0,norte,SNA_N,linear,Successful correction,12,2.120154774120108,0.12254619379299925,94.21994114350177,0.9974723267821496,0.9974723267821497,4.5162473,3.3677089395734754,4.431585318913637,0.7456874515205302,0.9812539093936767,0.2543125484794698,0.018746090606323262,1.7028856930614535,1.2670260393504755,1.6672860082077026,0.7440464409989915,0.9790944953035868
INM-CM5-0,norteleste,SNA_NE,linear,Successful correction,12,2.1524460235190044,0.11409501489292584,94.6992856663419,0.9968133943183474,0.9968133943183475,4.413300799999998,3.0513187386778675,4.221660817195023,0.6913915178131227,0.9565767230719974,0.3086084821868773,0.04342327692800263,1.6374146717663176,1.1704082692495672,1.6193217272846756,0.7147903884280091,0.9889502978117787
INM-CM5-0,centro,SNA_C,qm,Successful correction,12,1.4212006881951378,0.0811558540684884,94.2896274437108,0.9979933687741567,0.998923172069979,3.307254000000004,2.3704167238430927,3.403967404298921,0.7167325895873404,1.0292428111959098,0.28326741041265957,0.029242811195909768,1.214888034504629,0.8854317274919078,1.2271988881992768,0.728817555481928,1.0101333236849828
INM-CM5-0,centroleste,SNA_CE,linear,Successful correction,12,0.9534796979025005,0.14840202703125063,84.43574337684265,0.9947079477373522,0.9947079477373525,3.9460900999999993,2.8571337166221014,3.675832071240066,0.7240416828348907,0.9315124536158125,0.2759583171651093,0.06848754638418753,1.4520016630656973,1.078826182502685,1.3879587986610715,0.7429923876429282,0.9558933945919812
INM-CM5-0,cbm,BMC,qm,Successful correction,12,2.381694674021479,0.24394182635514308,89.75763648397263,0.996112113567072,0.9956530274533272,8.3468898,6.385983999483104,8.451189154225794,0.7650734767677302,1.0124955949730874,0.2349265232322698,0.012495594973087387,3.067978233643266,2.4200314615833003,3.043325556316414,0.7888033347320981,0.9919645201336462
INM-CM5-0,tna,TNA,qm,Successful correction,12,1.281162494302125,0.05917700517715504,95.38099144797476,0.9976210231756047,0.9987965188125203,3.2781283000000023,2.271874157534544,3.2681867478822397,0.6930400367595565,0.9969673084126199,0.3069599632404435,0.0030326915873800653,1.196401222303523,0.8533698493651964,1.1968917719837557,0.7132806565694894,1.0004100210456892
INM-CM5-0,tsa,TSA,linear,Successful correction,12,0.4540171678101081,0.047082002514689414,89.6299070051066,0.999163278466126,0.9991632784661261,2.304991300000001,2.4624446164139755,2.322929464847501,1.068309722650135,1.0077823134722894,0.06830972265013502,0.007782313472289415,0.8480532385494743,0.9082839567031255,0.8568231550915243,1.071022331400645,1.0103412334785138
INM-CM5-0,nat,NAT,qm,Successful correction,12,0.7147299929667191,0.10188341465749111,85.74518830046702,0.9919830918073962,0.9937744413489101,3.3465244999999975,2.403213071342652,3.1665164625147852,0.7181220610644428,0.9462104528189731,0.28187793893555724,0.05378954718102691,1.1942554120631568,0.9083392260659935,1.1658958606609904,0.7605904205171456,0.9762533616212186
INM-CM5-0,sat,SAT,xgb,Successful correction,12,0.5657621895021977,0.054738135869344916,90.32488616506737,0.9758128661386052,0.9984996871551507,2.9691837999999997,3.7355693314463423,2.9356683731079123,1.2581131998114574,0.9887122424377746,0.2581131998114574,0.011287757562225442,1.0788616319911848,1.3692884663339706,1.0697870639766738,1.2691974816147311,0.9915887563841133
INM-CM5-0,tasi,TASI,xgb,Successful correction,12,0.3199591426983444,0.10764416404875661,66.35690321553247,0.9851870894535913,0.9994867673851048,6.0679206699999995,6.117186935592369,5.86711552143097,1.0081191347533502,0.9669070906675137,0.008119134753350243,0.03309290933248632,2.251212768754596,2.263456341614163,2.1794767945590143,1.005438656456422,0.968134520560992
INM-CM5-0,wtio,WTIO,linear,Successful correction,12,0.5077139189939688,0.20476991760739516,59.668248210893026,0.949303129302173,0.9493031293021723,2.256849199999998,1.7193717763755103,2.0497795822896165,0.7618461066762954,0.9082483589464544,0.23815389332370462,0.09175164105354561,0.7366360798185996,0.5592619119189123,0.6667340152693513,0.7592105888387023,0.9051063795755673
