model,area,method,rmse,mae,r2,bias,corr,n,selection_reason,complexity_rank
ACCESS-CM2,cbm,xgb,0.7104216905342232,0.5678771768341064,0.9434437233906203,-0.3717117174377441,0.9794842066462073,120,lowest_rmse,
ACCESS-CM2,centro,qm,0.6074487079160474,0.5111517992896751,0.7567517533942474,-0.3899405636049689,0.9260123596285252,120,lowest_rmse,
ACCESS-CM2,centroleste,qm,0.6552811794080988,0.5364991235012595,0.8012934794050343,-0.3970978685439198,0.9350231352588004,120,rmse_mae_tie_then_highest_r2,
ACCESS-CM2,dmi,xgb,0.4168992204675324,0.3333752419169285,0.46800051543243304,-0.028646827005678815,0.6890409446632327,120,lowest_rmse,
ACCESS-CM2,nat,qm,0.6160601559986693,0.5037673938216239,0.7465395400832453,-0.3464232064034236,0.909261894867419,120,practical_tie_prefer_simpler_method,1.0
ACCESS-CM2,nino12,xgb,0.9168649428838727,0.7422152786427817,0.8144252417063158,0.01001026077372223,0.9024741768386728,120,lowest_rmse,
ACCESS-CM2,nino3,xgb,0.744894330501722,0.595302109556071,0.5749982524418726,-0.013584357114664622,0.76424955650059,120,lowest_rmse,
ACCESS-CM2,nino34,xgb,0.7675428222533629,0.603477817549642,0.21637230734622237,0.052084378967285114,0.5164864559649244,120,lowest_rmse,
ACCESS-CM2,nino4,xgb,0.7237692610905048,0.5661322448618571,-0.060787541816033075,-0.028219127904256246,0.25261858218813665,120,rmse_tie_then_lowest_mae,
ACCESS-CM2,norte,xgb,0.4330665846708513,0.3508500629720054,0.9311267641673648,-0.3164124599934896,0.9839351177784633,120,lowest_rmse,
ACCESS-CM2,norteleste,xgb,0.5156574345212238,0.4119048829213459,0.8975364905184556,-0.3251879623789468,0.9700592417672942,120,lowest_rmse,
ACCESS-CM2,sat,xgb,0.43193208199678707,0.3429334073181154,0.8418724289756695,-0.14994554528401685,0.9284523149375817,120,lowest_rmse,
ACCESS-CM2,setio,linear,0.486771531120414,0.3987217024944011,0.24472002715032837,-0.22253115540159688,0.6345622728641246,120,lowest_rmse,
ACCESS-CM2,swio,xgb,0.4917566853776508,0.40685431690063467,0.62778548277559,-0.3638899290262858,0.9161471158851077,120,rmse_mae_tie_then_highest_r2,
ACCESS-CM2,tasi,xgb,0.5486476172235967,0.4287474911377553,0.9371339967694229,-0.21287805606481067,0.9737257116455897,120,lowest_rmse,
ACCESS-CM2,tna,qm,0.5919726212633685,0.4847412483486638,0.7573675485947737,-0.3627064474023808,0.9217328887940073,120,practical_tie_prefer_simpler_method,1.0
ACCESS-CM2,tsa,linear,0.3028768077400046,0.23707682868816038,0.8688237210205142,0.04521676291911728,0.9337760291532617,120,rmse_tie_then_lowest_mae,
ACCESS-CM2,wtio,xgb,0.4508317078781821,0.3718814690633138,0.6496449695762991,-0.2721691855611166,0.8889076710538553,120,lowest_rmse,
BCC-CSM2-MR,cbm,xgb,0.6763277681084932,0.5526771359049479,0.9487418625106254,-0.11805315255228678,0.9753232467956238,120,lowest_rmse,
BCC-CSM2-MR,centro,qm,0.49240834178211657,0.36752633867454304,0.8401615363843535,-0.14672539603594592,0.9254828317770976,120,rmse_tie_then_lowest_mae,
BCC-CSM2-MR,centroleste,linear,0.5684144345380272,0.450236832999661,0.8504842561898878,-0.1808014519146345,0.9317268612913985,120,lowest_rmse,
BCC-CSM2-MR,dmi,xgb,0.4353139979570749,0.3566708533960473,0.419964852683432,0.05408269306484296,0.6678592924480511,120,lowest_rmse,
BCC-CSM2-MR,nat,qm,0.4919814105510104,0.36474765206102316,0.8383553399370068,-0.08769493170441915,0.9187280429592086,120,rmse_tie_then_lowest_mae,
BCC-CSM2-MR,nino12,xgb,0.909762394023041,0.7627982974782308,0.8172892373410964,0.16791183395487458,0.9077491577888237,120,lowest_rmse,
BCC-CSM2-MR,nino3,xgb,0.7853068632027139,0.6464121703989665,0.5276323317292211,0.10931309301452646,0.7349224443102297,120,lowest_rmse,
BCC-CSM2-MR,nino34,xgb,0.7800894208765892,0.6323551303975425,0.19054385881520852,0.12692724522908524,0.49737465522144236,120,lowest_rmse,
BCC-CSM2-MR,nino4,linear,0.6821528033085599,0.5635158912856639,0.057695037673544,0.03678198662334185,0.2912432590324852,120,lowest_rmse,
BCC-CSM2-MR,norte,linear,0.33137232026204866,0.2664852075126113,0.9596750725046277,0.013812067223187589,0.979666155009314,120,practical_tie_prefer_simpler_method,0.0
BCC-CSM2-MR,norteleste,xgb,0.43264488566507037,0.33321161943155936,0.9278710171100427,-0.13163968039143867,0.9667769643430631,120,lowest_rmse,
BCC-CSM2-MR,sat,xgb,0.4156203860583545,0.32553875035705576,0.8535901292375936,-0.15718112000630688,0.9375573523098524,120,rmse_tie_then_lowest_mae,
BCC-CSM2-MR,setio,xgb,0.4611751914667258,0.39093797181294754,0.3220627436649909,-0.26932255120340975,0.7532358051947293,120,rmse_mae_tie_then_highest_r2,
BCC-CSM2-MR,swio,linear,0.3405172287873999,0.2771489980468441,0.8215276497999775,-0.08064111125794104,0.912654425050157,120,lowest_rmse,
BCC-CSM2-MR,tasi,xgb,0.4676487464399558,0.3792348586276797,0.9543260675994245,-0.22118934151586525,0.9827348052901401,120,lowest_rmse,
BCC-CSM2-MR,tna,qm,0.4455524506623181,0.32865834060453347,0.8625504515463949,-0.07495204521069257,0.93155182928491,120,rmse_tie_then_lowest_mae,
BCC-CSM2-MR,tsa,linear,0.2527443548203405,0.2003510561763148,0.9086547019672688,0.04214059674917665,0.955556518117574,120,practical_tie_prefer_simpler_method,0.0
BCC-CSM2-MR,wtio,linear,0.3062846116397629,0.24645473966528705,0.8382926328844553,0.019967456267245224,0.9163606316327966,120,lowest_rmse,
CMCC-ESM2,cbm,xgb,0.6983686821383749,0.5539740852727254,0.94534651057826,-0.3548063540369669,0.9803883564899912,120,lowest_rmse,
CMCC-ESM2,centro,qm,0.7111199160888418,0.540072563971311,0.6666379354535502,-0.260487852325825,0.8491680621797763,120,rmse_tie_then_lowest_mae,
CMCC-ESM2,centroleste,xgb,0.6598174888342473,0.5417332892842611,0.798532788794596,-0.42719217396240233,0.9399425663791174,120,lowest_rmse,
CMCC-ESM2,dmi,xgb,0.4118589516661852,0.3123914432770071,0.4807863937683191,0.0034429859062904836,0.6981868832597957,120,lowest_rmse,
CMCC-ESM2,nat,xgb,0.6298642303412281,0.5102044543619791,0.7350536950773107,-0.392682928696696,0.9154440484139749,120,lowest_rmse,
CMCC-ESM2,nino12,xgb,1.0786199646935817,0.8414031771484375,0.7431703985090636,0.15863387031656892,0.8667839442580103,120,lowest_rmse,
CMCC-ESM2,nino3,xgb,0.8618217612322577,0.6938272704284668,0.4310995332353147,0.0026541415730795197,0.6811446356349469,120,lowest_rmse,
CMCC-ESM2,nino34,xgb,0.8741214336315465,0.6631562311716717,-0.01636121666594237,0.03202315625508622,0.3961981259453362,120,lowest_rmse,
CMCC-ESM2,nino4,linear,0.7115360944396361,0.5936545989663562,-0.025231669395622713,-0.011628341620172834,-0.33574772801730157,120,lowest_rmse,
CMCC-ESM2,norte,xgb,0.46063743320478856,0.38034125415547687,0.9220780893637549,-0.3512261342844646,0.9838829477310175,120,lowest_rmse,
CMCC-ESM2,norteleste,xgb,0.557659239575632,0.42815084087829586,0.8801647837174388,-0.334861462439982,0.9611666848513375,120,lowest_rmse,
CMCC-ESM2,sat,xgb,0.4448542470530146,0.34890470228983556,0.8322694555269798,-0.15108110118713372,0.9239792707505108,120,lowest_rmse,
CMCC-ESM2,setio,qm,0.44789028637914186,0.3304041344734529,0.36055835753290566,-0.07964205307351578,0.6723749704265828,120,rmse_tie_then_lowest_mae,
CMCC-ESM2,swio,xgb,0.4521993301657734,0.366582074524943,0.6852595282898708,-0.28409035639953617,0.9045737782660861,120,lowest_rmse,
CMCC-ESM2,tasi,xgb,0.5961340845468036,0.4694557739804029,0.9257807155105725,-0.24797765532688928,0.9719783624304013,120,lowest_rmse,
CMCC-ESM2,tna,xgb,0.5876819254226413,0.49711274172058106,0.7608720659832711,-0.44144037976989736,0.9467415256631145,120,lowest_rmse,
CMCC-ESM2,tsa,xgb,0.27228615417072405,0.23138988640543603,0.8939832748994996,-0.10375064630330402,0.9536961791105797,120,lowest_rmse,
CMCC-ESM2,wtio,xgb,0.44089643254208055,0.3544710007883708,0.6649168259217116,-0.26638780522562666,0.8927974196744093,120,lowest_rmse,
EC-EARTH3-Veg,cbm,xgb,0.7024949294303752,0.5469661198069254,0.9446987724068704,-0.3153154555867513,0.9779418918156288,120,lowest_rmse,
