model,area,method,rmse,mae,r2,bias,corr,n
INM-CM5-0,nino12,linear,1.0910089045258358,0.8729303287278621,0.7372366687475087,0.5263640506491857,0.8936286039683089,120
INM-CM5-0,nino12,qm,1.4081548143280895,1.12047713643299,0.5622673137354326,0.7433400320471935,0.8771428566707508,120
INM-CM5-0,nino12,xgb,0.9644534172333947,0.7936256414764403,0.7946613600620807,0.1211329961151122,0.8933246160035451,120
INM-CM5-0,nino3,linear,0.8084452076584258,0.640965394994272,0.4993864964363717,0.194009561875379,0.7268051742153533,120
INM-CM5-0,nino3,qm,0.9652518769297979,0.8193281805663688,0.28635424342498894,0.34068561656036256,0.7422191482708709,120
INM-CM5-0,nino3,xgb,0.8118219570888822,0.6168253975118002,0.49519579380797774,0.13529463051554372,0.7183437394705453,120
INM-CM5-0,nino34,linear,0.7920733827281876,0.6400860046849713,0.1654826231442994,0.15399458138317873,0.44538261843760435,120
INM-CM5-0,nino34,qm,0.9908283120526292,0.8417592368706079,-0.305874258440733,0.31998913595898615,0.47427603985778966,120
INM-CM5-0,nino34,xgb,0.7734510368790525,0.6163812943735759,0.20426181729618953,0.15759326276143387,0.4878049459621776,120
INM-CM5-0,nino4,linear,0.7017154482345856,0.5843126317277111,0.0028735950236716823,-0.011181230071003334,0.05593210872457108,120
INM-CM5-0,nino4,qm,0.9086012670142181,0.7390478717172138,-0.6717634191855673,0.1667026338693061,0.06199465529932823,120
INM-CM5-0,nino4,xgb,0.65124338624226,0.5217804138315837,0.1411549964917559,0.038246313481648704,0.3811505872837397,120
INM-CM5-0,norte,linear,0.30576249978595976,0.24205536280663897,0.9656671719484375,-0.09584396722924972,0.9846480013183988,120
INM-CM5-0,norte,qm,0.295610234034443,0.23805796942322568,0.9679092351393259,-0.0635263223622957,0.9850868469852706,120
INM-CM5-0,norte,xgb,0.35176711604748584,0.27962533126932787,0.9545586092923539,-0.21928322631530767,0.9860754303659997,120
INM-CM5-0,norteleste,linear,0.40892681978137907,0.32653795890852316,0.9355626235847405,-0.02620670716789055,0.9673841209217259,120
INM-CM5-0,norteleste,qm,0.40418861881900847,0.3288265180380146,0.937047233454112,0.02944359215730327,0.9699991667444088,120
INM-CM5-0,norteleste,xgb,0.48711649697005166,0.3869964893035889,0.9085650281717728,-0.18518580707499174,0.9616953926104341,120
INM-CM5-0,centro,linear,0.46349496552553987,0.36151749214237333,0.858381322114339,-0.16964228318437777,0.9377135213698663,120
INM-CM5-0,centro,qm,0.4485899332071752,0.3412287713533081,0.8673431929538549,-0.1317162543260497,0.9374852505701906,120
INM-CM5-0,centro,xgb,0.5712873293033098,0.43922526922709165,0.7848508290499333,-0.3500105466217042,0.9314964731906831,120
INM-CM5-0,centroleste,linear,0.5393178940825109,0.4184277416834786,0.8653995878597578,-0.11007381019039521,0.934289198345466,120
INM-CM5-0,centroleste,qm,0.5270409946706154,0.4105616038626492,0.8714578605923048,-0.04728838182491,0.9345646039618886,120
INM-CM5-0,centroleste,xgb,0.5658705587298801,0.44549574644470236,0.8518195438060193,-0.28633058325907385,0.9435585968429471,120
